Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SARO,STANDARDAERO,Industrials,Equity,"1,332,537.10",0,"1,332,537.10","49,262.00",27.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
LBTYA,LIBERTY GLOBAL LTD CLASS A,Communication,Equity,"1,328,960.15",0,"1,328,960.15","117,089.00",11.35,United States,NASDAQ,USD,1,USD,-
CRI,CARTERS INC,Consumer Discretionary,Equity,"1,327,036.80",0,"1,327,036.80","26,304.00",50.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
RKT,ROCKET COMPANIES INC CLASS A,Financials,Equity,"1,294,671.40",0,"1,294,671.40","98,230.00",13.18,United States,New York Stock Exchange Inc.,USD,1,USD,-
TRIP,TRIPADVISOR INC,Communication,Equity,"1,294,935.88",0,"1,294,935.88","74,081.00",17.48,United States,NASDAQ,USD,1,USD,-
UI,UBIQUITI INC,Information Technology,Equity,"1,272,717.60",0,"1,272,717.60","2,982.00",426.8,United States,New York Stock Exchange Inc.,USD,1,USD,-
QS,QUANTUMSCAPE CORP CLASS A,Consumer Discretionary,Equity,"1,246,573.17",0,"1,246,573.17","248,817.00",5.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
CAR,AVIS BUDGET GROUP INC,Industrials,Equity,"1,147,329.06",0,"1,147,329.06","12,633.00",90.82,United States,NASDAQ,USD,1,USD,-
GO,GROCERY OUTLET HOLDING CORP,Consumer Staples,Equity,"1,139,101.86",0,"1,139,101.86","65,806.00",17.31,United States,NASDAQ,USD,1,USD,-
TXG,10X GENOMICS INC CLASS A,Health Care,Equity,"1,110,235.60",0,"1,110,235.60","75,784.00",14.65,United States,NASDAQ,USD,1,USD,-
CERT,CERTARA INC,Health Care,Equity,"1,111,134.01",0,"1,111,134.01","81,641.00",13.61,United States,NASDAQ,USD,1,USD,-
BFA,BROWN FORMAN CORP CLASS A,Consumer Staples,Equity,"1,097,532.02",0,"1,097,532.02","34,931.00",31.42,United States,New York Stock Exchange Inc.,USD,1,USD,-
UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,Equity,"1,056,187.20",0,"1,056,187.20","138,972.00",7.6,United States,New York Stock Exchange Inc.,USD,1,USD,-
DDS,DILLARDS INC CLASS A,Consumer Discretionary,Equity,"1,022,871.84",0,"1,022,871.84","2,166.00",472.24,United States,New York Stock Exchange Inc.,USD,1,USD,-
LLYVA,LIBERTY MEDIA LIBERTY LIVE CORP SE,Communication,Equity,"1,014,617.31",0,"1,014,617.31","13,687.00",74.13,United States,NASDAQ,USD,1,USD,-
FTRE,FORTREA HOLDINGS INC,Health Care,Equity,"1,000,953.80",0,"1,000,953.80","64,997.00",15.4,United States,NASDAQ,USD,1,USD,-
KSS,KOHLS CORP,Consumer Discretionary,Equity,"996,300.80",0,"996,300.80","78,080.00",12.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
LENB,LENNAR CORP CLASS B,Consumer Discretionary,Equity,"981,095.94",0,"981,095.94","8,123.00",120.78,United States,New York Stock Exchange Inc.,USD,1,USD,-
SNDR,SCHNEIDER NATIONAL INC CLASS B,Industrials,Equity,"982,744.35",0,"982,744.35","33,257.00",29.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
LEG,LEGGETT & PLATT INC,Consumer Discretionary,Equity,"983,713.11",0,"983,713.11","97,301.00",10.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
UA,UNDER ARMOUR INC CLASS C,Consumer Discretionary,Equity,"978,827.52",0,"978,827.52","139,038.00",7.04,United States,New York Stock Exchange Inc.,USD,1,USD,-
REYN,REYNOLDS CONSUMER PRODUCTS INC,Consumer Staples,Equity,"945,666.82",0,"945,666.82","38,101.00",24.82,United States,NASDAQ,USD,1,USD,-
LBRDA,LIBERTY BROADBAND CORP SERIES A,Communication,Equity,"921,466.65",0,"921,466.65","11,791.00",78.15,United States,NASDAQ,USD,1,USD,-
CNA,CNA FINANCIAL CORP,Financials,Equity,"870,314.85",0,"870,314.85","17,529.00",49.65,United States,New York Stock Exchange Inc.,USD,1,USD,-
GRAL,GRAIL INC,Health Care,Equity,"645,284.40",0,"645,284.40","19,560.00",32.99,United States,NASDAQ,USD,1,USD,-
CWENA,CLEARWAY ENERGY INC CLASS A,Utilities,Equity,"605,783.64",0,"605,783.64","24,486.00",24.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
TFSL,TFS FINANCIAL CORP,Financials,Equity,"583,598.48",0,"583,598.48","42,046.00",13.88,United States,NASDAQ,USD,1,USD,-
NFE,NEW FORTRESS ENERGY INC CLASS A,Energy,Equity,"575,567.73",0,"575,567.73","45,789.00",12.57,United States,NASDAQ,USD,1,USD,-
WOLF,WOLFSPEED INC,Information Technology,Equity,"514,205.46",0,"514,205.46","87,006.00",5.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
UHAL,U HAUL HOLDING,Industrials,Equity,"443,696.60",0,"443,696.60","6,290.00",70.54,United States,New York Stock Exchange Inc.,USD,1,USD,-
UWMC,UWM HOLDINGS CORP CLASS A,Financials,Equity,"415,963.99",0,"415,963.99","66,131.00",6.29,United States,New York Stock Exchange Inc.,USD,1,USD,-
SEB,SEABOARD CORP,Consumer Staples,Equity,"361,814.15",0,"361,814.15",145,"2,495.27",United States,Nyse Mkt Llc,USD,1,USD,-
PLTK,PLAYTIKA HOLDING CORP,Communication,Equity,"363,834.42",0,"363,834.42","50,046.00",7.27,United States,NASDAQ,USD,1,USD,-
INGM,INGRAM MICRO HOLDING CORP,Information Technology,Equity,"304,695.08",0,"304,695.08","12,622.00",24.14,United States,New York Stock Exchange Inc.,USD,1,USD,-
PARAA,PARAMOUNT GLOBAL CLASS A,Communication,Equity,"187,008.50",0,"187,008.50","8,330.00",22.45,United States,NASDAQ,USD,1,USD,-
SEG,SEAPORT ENTERTAINMENT GROUP INC,Real Estate,Equity,"157,410.00",0,"157,410.00","5,830.00",27,United States,Nyse Mkt Llc,USD,1,USD,-
-,ESC GCI LIBERTY INC SR ESCROW,Communication,Equity,0.7,0,0.7,"70,458.00",0,United States,NASDAQ,USD,1,USD,-
FAH5,S&P MID 400 EMINI MAR 25,Cash and/or Derivatives,Futures,0,0,"4,886,850.00",15,"3,257.90",-,Index And Options Market,USD,1,USD,-
ESH5,S&P500 EMINI MAR 25,Cash and/or Derivatives,Futures,0,0,"61,975,900.00",203,"6,106.00",-,Index And Options Market,USD,1,USD,-
 ,,,,,,,,,,,,,,
